,Date,Area_Code,Total_Condo_Sold_Number,Avg_Price,Med_Price,Prime_Rate,Inflation,GDP,Metal_Price,NASDAQ,Ontario_Immigrants_International,Toronto_Median_Age,UT_Total_Enrollment,Toronto_Participation_Rate,Toronto_Employment_Rate,Toronto_Population,New_Units_Number_Planned,New_Units_Number_Construction
0,2001-01-01,E02,5.0,214180.0,229000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
1,2001-01-01,W09,15.0,108467.0,93000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
2,2001-01-01,W08,18.0,218839.0,150000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
3,2001-01-01,W07,1.0,179500.0,179500.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
4,2001-01-01,W06,15.0,224660.0,190000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
5,2001-01-01,E06,0.0,0.0,0.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
6,2001-01-01,W05,17.0,107088.0,117000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
7,2001-01-01,W03,4.0,126625.0,116500.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
8,2001-01-01,W01,4.0,188875.0,188250.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
9,2001-01-01,E11,24.0,115948.0,117450.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
10,2001-01-01,E10,3.0,119300.0,124000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
11,2001-01-01,E09,28.0,155529.0,155950.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
12,2001-01-01,E08,18.0,142147.0,131500.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
13,2001-01-01,W04,17.0,111253.0,116500.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
14,2001-01-01,C01,63.0,274706.0,200000.0,7.4,2.8,33393.91068,262.182,2641.687163,34801.0,36.8,45261.0,68.6,65.0,4882618.0,1457.0,511.0
